STATIONS_ID;MESS_DATUM;QN_6;  RS; RSF;SH_TAG;eor
        691;18901009;    5;   0.0;   0;   0;eor
        691;18901010;    5;   0.2;   1;   0;eor
        691;18901011;    5;   0.0;   0;   0;eor
        691;18901012;    5;   0.1;   1;   0;eor
        691;18901013;    5;   0.0;   0;   0;eor
        691;18901014;    5;   0.0;   1;   0;eor
        691;18901015;    5;   2.0;   1;   0;eor
        691;18901016;    5;   1.1;   1;   0;eor
        691;18901017;    5;   8.5;   1;   0;eor
        691;18901018;    5;   6.0;   1;   0;eor
        691;18901019;    5;   0.2;   1;   0;eor
        691;18901020;    5;   0.0;   0;   0;eor
        691;18901021;    5;   0.0;   0;   0;eor
        691;18901022;    5;   0.1;   1;   0;eor
        691;18901023;    5;   5.9;   1;   0;eor
        691;18901024;    5;   0.6;   1;   0;eor
        691;18901025;    5;  18.0;   1;   0;eor
        691;18901026;    5;   1.6;   1;   0;eor
        691;18901027;    5;   4.0;   1;   0;eor
        691;18901028;    5;   0.6;   1;   0;eor
        691;18901029;    5;   2.2;   1;   0;eor
        691;18901030;    5;   0.2;   1;   0;eor
        691;18901031;    5;   0.0;   0;   0;eor
        691;18901101;    5;   1.5;   1;   0;eor
        691;18901102;    5;   1.3;   1;   0;eor
        691;18901103;    5;   1.0;   1;   0;eor
        691;18901104;    5;  12.3;   1;   0;eor
        691;18901105;    5;   0.0;   0;   0;eor
        691;18901106;    5;   0.0;   0;   0;eor
        691;18901107;    5;   0.9;   1;   0;eor
        691;18901108;    5;   0.0;   0;   0;eor
        691;18901109;    5;   0.0;   0;   0;eor
        691;18901110;    5;   0.0;   1;   0;eor
        691;18901111;    5;   0.1;   1;   0;eor
        691;18901112;    5;   0.0;   0;   0;eor
        691;18901113;    5;   0.0;   0;   0;eor
        691;18901114;    5;   0.0;   0;   0;eor
        691;18901115;    5;   0.9;   1;   0;eor
        691;18901116;    5;   7.6;   1;   0;eor
        691;18901117;    5;   0.8;   1;   0;eor
        691;18901118;    5;   1.6;   1;   0;eor
        691;18901119;    5;   1.5;   1;   0;eor
        691;18901120;    5;   0.7;   1;   0;eor
        691;18901121;    5;   3.6;   1;   0;eor
        691;18901122;    5;  15.2;   1;   0;eor
        691;18901123;    5;   7.7;   1;   0;eor
        691;18901124;    5;   6.3;   1;   0;eor
        691;18901125;    5;   0.1;   1;   0;eor
        691;18901126;    5;   0.0;   1;   0;eor
        691;18901127;    5;   0.1;   1;   0;eor
        691;18901128;    5;   0.0;   0;   0;eor
        691;18901129;    5;   2.0;   1;   0;eor
        691;18901130;    5;   0.0;   0;   2;eor
        691;18901201;    5;   0.0;   0;   3;eor
        691;18901202;    5;   0.0;   0;   3;eor
        691;18901203;    5;   0.3;   1;   2;eor
        691;18901204;    5;   0.0;   1;   2;eor
        691;18901205;    5;   0.0;   0;   2;eor
        691;18901206;    5;   0.0;   1;   2;eor
        691;18901207;    5;   0.0;   0;   2;eor
        691;18901208;    5;   0.0;   0;   2;eor
        691;18901209;    5;   0.0;   0;   1;eor
        691;18901210;    5;   0.0;   0;   1;eor
        691;18901211;    5;   0.0;   0;   1;eor
        691;18901212;    5;   0.0;   0;   1;eor
        691;18901213;    5;   0.0;   0;   1;eor
        691;18901214;    5;   0.0;   0;   1;eor
        691;18901215;    5;   0.0;   0;   1;eor
        691;18901216;    5;   0.1;   1;   1;eor
        691;18901217;    5;   0.0;   0;   1;eor
        691;18901218;    5;   0.0;   0;   1;eor
        691;18901219;    5;   0.2;   1;   1;eor
        691;18901220;    5;   0.0;   0;   1;eor
        691;18901221;    5;   0.0;   0;   1;eor
        691;18901222;    5;   0.0;   0;   1;eor
        691;18901223;    5;   0.0;   0;   1;eor
        691;18901224;    5;   0.1;   1;   1;eor
        691;18901225;    5;   0.0;   1;   1;eor
        691;18901226;    5;   0.9;   1;   1;eor
        691;18901227;    5;   0.0;   1;   2;eor
        691;18901228;    5;   0.0;   0;   2;eor
        691;18901229;    5;   0.0;   0;   2;eor
