STATIONS_ID;MESS_DATUM_BEGINN;MESS_DATUM_ENDE;QN_6;MO_NSH;MO_RR;MO_SH_S;MX_RS;eor
        691;19120701;19120731;    5;   -999;    90.1;-999;   45.0;eor
        691;19120801;19120831;    5;   -999;    82.0;-999;   13.0;eor
        691;19120901;19120930;    5;   -999;    48.0;-999;    9.3;eor
        691;19121001;19121031;    5;   -999;    27.5;-999;    6.1;eor
        691;19121101;19121130;    5;   -999;    85.9;-999;   11.5;eor
        691;19121201;19121231;    5;   -999;    55.3;-999;    9.0;eor
        691;19130101;19130131;    5;   -999;    59.5;-999;    9.3;eor
        691;19130201;19130228;    5;   -999;    20.6;-999;    8.4;eor
        691;19130301;19130331;    5;   -999;    49.8;-999;   11.5;eor
        691;19130401;19130430;    5;   -999;    40.3;-999;   10.5;eor
        691;19130501;19130531;    5;   -999;    53.6;-999;   23.4;eor
        691;19130601;19130630;    5;   -999;   113.5;-999;   36.5;eor
        691;19130701;19130731;    5;   -999;    82.6;-999;   19.2;eor
        691;19130801;19130831;    5;   -999;    27.7;-999;   11.3;eor
        691;19130901;19130930;    5;   -999;    19.7;-999;    6.5;eor
        691;19131001;19131031;    5;   -999;    51.5;-999;   11.3;eor
        691;19131101;19131130;    5;   -999;    60.8;-999;   11.8;eor
        691;19131201;19131231;    5;   -999;    57.5;-999;    7.6;eor
        691;19140101;19140131;    5;   -999;    28.1;-999;    9.5;eor
        691;19140201;19140228;    5;   -999;    23.4;-999;    7.0;eor
        691;19140301;19140331;    5;   -999;   124.3;-999;   27.1;eor
        691;19140401;19140430;    5;   -999;    39.2;-999;    8.8;eor
        691;19140501;19140531;    5;   -999;    62.9;-999;   10.4;eor
        691;19140601;19140630;    5;   -999;    42.9;-999;   11.9;eor
        691;19140701;19140731;    5;   -999;    91.0;-999;   21.2;eor
        691;19140801;19140831;    5;   -999;    58.9;-999;   27.9;eor
        691;19140901;19140930;    5;   -999;    62.9;-999;   20.3;eor
        691;19141001;19141031;    5;   -999;    44.5;-999;    9.6;eor
        691;19141101;19141130;    5;   -999;    45.2;-999;   13.2;eor
        691;19141201;19141231;    5;   -999;    54.5;-999;   22.5;eor
        691;19150101;19150131;    5;   -999;    81.9;-999;   16.6;eor
        691;19150201;19150228;    5;   -999;    31.6;-999;    9.1;eor
        691;19150301;19150331;    5;   -999;    87.6;-999;   19.5;eor
        691;19150401;19150430;    5;   -999;    38.1;-999;   14.7;eor
